Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,2.100000,2.190000,2.080000,2.130000,2.065141,42591100
2020-05-19,2.150000,2.160000,2.090000,2.090000,2.026359,32944600
2020-05-20,2.120000,2.180000,2.090000,2.170000,2.103923,30071600
2020-05-21,2.190000,2.230000,2.110000,2.130000,2.065141,37050400
2020-05-22,2.150000,2.180000,2.100000,2.140000,2.074836,15958500
2020-05-26,2.340000,2.400000,2.300000,2.350000,2.278442,42690200
2020-05-27,2.500000,2.590000,2.420000,2.590000,2.511134,50629800
2020-05-28,2.550000,2.550000,2.370000,2.380000,2.307528,47949000
2020-05-29,2.370000,2.390000,2.260000,2.310000,2.239660,59416500
2020-06-01,2.340000,2.400000,2.310000,2.370000,2.297833,50377400
2020-06-02,2.440000,2.580000,2.400000,2.510000,2.433570,43352500
2020-06-03,2.650000,2.740000,2.630000,2.660000,2.579002,36377900
2020-06-04,2.640000,2.670000,2.590000,2.640000,2.559612,28859300
2020-06-05,2.800000,2.900000,2.770000,2.820000,2.734130,50237900
2020-06-08,2.940000,3.020000,2.910000,3.000000,2.908649,54865300
2020-06-09,2.920000,2.950000,2.870000,2.920000,2.831085,33461400
2020-06-10,2.950000,2.980000,2.810000,2.820000,2.734130,39396000
2020-06-11,2.650000,2.690000,2.590000,2.640000,2.559612,33465700
2020-06-12,2.710000,2.750000,2.610000,2.710000,2.627480,44167900
2020-06-15,2.570000,2.650000,2.520000,2.610000,2.530525,28675400
2020-06-16,2.700000,2.710000,2.540000,2.560000,2.482047,40495500
2020-06-17,2.600000,2.700000,2.580000,2.640000,2.559612,33425900
2020-06-18,2.600000,2.640000,2.540000,2.590000,2.511134,29712700
2020-06-19,2.600000,2.650000,2.580000,2.600000,2.520829,44839800
2020-06-22,2.630000,2.740000,2.630000,2.710000,2.627480,46836100
2020-06-23,2.750000,2.800000,2.710000,2.720000,2.637175,25300300
2020-06-24,2.670000,2.690000,2.550000,2.590000,2.511134,29196300
2020-06-25,2.620000,2.710000,2.620000,2.680000,2.598393,46837700
2020-06-26,2.640000,2.650000,2.550000,2.550000,2.472352,24721100
2020-06-29,2.600000,2.690000,2.570000,2.680000,2.598393,33534500
2020-06-30,2.670000,2.740000,2.610000,2.640000,2.559612,33405100
2020-07-01,2.660000,2.770000,2.660000,2.730000,2.646871,25199700
2020-07-02,2.770000,2.800000,2.630000,2.660000,2.579002,22932900
2020-07-06,2.710000,2.730000,2.670000,2.690000,2.608089,23360900
2020-07-07,2.700000,2.760000,2.670000,2.710000,2.627480,41491100
2020-07-08,2.750000,2.810000,2.700000,2.810000,2.724435,33395800
2020-07-09,2.830000,2.860000,2.750000,2.780000,2.695348,38317100
2020-07-10,2.750000,2.840000,2.740000,2.830000,2.743826,27799300
2020-07-13,2.820000,2.820000,2.610000,2.610000,2.530525,62774000
2020-07-14,2.580000,2.630000,2.520000,2.620000,2.540220,49673900
2020-07-15,2.670000,2.720000,2.660000,2.690000,2.608089,30825400
2020-07-16,2.660000,2.710000,2.620000,2.650000,2.569307,40471500
2020-07-17,2.670000,2.680000,2.590000,2.610000,2.530525,47180900
2020-07-20,2.620000,2.700000,2.620000,2.660000,2.579002,36173200
2020-07-21,2.710000,2.870000,2.700000,2.860000,2.772912,52872800
2020-07-22,2.910000,2.990000,2.870000,2.900000,2.811694,52349400
2020-07-23,2.890000,2.900000,2.780000,2.790000,2.705044,21725400
2020-07-24,2.800000,2.880000,2.750000,2.870000,2.782608,31077900
