Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,1.910000,1.960000,1.890000,1.910000,1.910000,5049900
2020-05-19,1.890000,2.000000,1.880000,1.960000,1.960000,5496200
2020-05-20,1.970000,2.070000,1.950000,2.040000,2.040000,6850900
2020-05-21,2.030000,2.100000,2.000000,2.020000,2.020000,5285200
2020-05-22,2.030000,2.030000,1.930000,1.980000,1.980000,4202000
2020-05-26,2.040000,2.190000,2.020000,2.170000,2.170000,11801500
2020-05-27,2.200000,2.250000,2.000000,2.170000,2.170000,8876300
2020-05-28,2.100000,2.220000,2.070000,2.110000,2.110000,7059700
2020-05-29,2.080000,2.150000,2.040000,2.130000,2.130000,3943900
2020-06-01,2.100000,2.280000,2.100000,2.250000,2.250000,7749600
2020-06-02,2.250000,2.300000,2.200000,2.300000,2.300000,6540900
2020-06-03,2.300000,2.480000,2.290000,2.420000,2.420000,12171300
2020-06-04,2.520000,2.590000,2.400000,2.540000,2.540000,16516000
2020-06-05,2.670000,2.800000,2.560000,2.620000,2.620000,16514800
2020-06-08,2.680000,2.800000,2.610000,2.710000,2.710000,14625400
2020-06-09,2.610000,2.670000,2.400000,2.610000,2.610000,9748400
2020-06-10,2.670000,3.420000,2.580000,3.370000,3.370000,51229900
2020-06-11,2.910000,2.950000,2.500000,2.550000,2.550000,32607700
2020-06-12,3.120000,3.230000,2.590000,2.730000,2.730000,37409600
2020-06-15,2.600000,2.650000,2.460000,2.540000,2.540000,24327400
2020-06-16,2.710000,2.750000,2.520000,2.590000,2.590000,16704500
2020-06-17,2.430000,2.620000,2.350000,2.360000,2.360000,14964100
2020-06-18,2.340000,2.360000,2.220000,2.280000,2.280000,11415100
2020-06-19,2.300000,2.350000,2.200000,2.200000,2.200000,13455000
2020-06-22,2.260000,2.300000,2.070000,2.170000,2.170000,13446100
2020-06-23,2.260000,2.430000,2.220000,2.240000,2.240000,20055600
2020-06-24,2.300000,2.480000,2.210000,2.360000,2.360000,25849100
2020-06-25,2.380000,2.420000,2.180000,2.220000,2.220000,18303300
2020-06-26,2.260000,2.310000,2.030000,2.090000,2.090000,47362700
2020-06-29,2.160000,2.420000,2.050000,2.340000,2.340000,22897900
2020-06-30,2.290000,2.330000,2.160000,2.260000,2.260000,13937300
2020-07-01,2.250000,2.380000,2.200000,2.280000,2.280000,18828400
2020-07-02,2.360000,2.580000,2.300000,2.520000,2.520000,26595300
2020-07-06,2.700000,3.070000,2.690000,2.870000,2.870000,36628400
2020-07-07,2.740000,2.870000,2.600000,2.830000,2.830000,17615300
2020-07-08,2.820000,2.960000,2.690000,2.960000,2.960000,19360300
2020-07-09,3.020000,3.080000,2.780000,3.040000,3.040000,20747000
2020-07-10,3.030000,3.360000,2.930000,3.070000,3.070000,37808400
2020-07-13,3.160000,3.170000,2.760000,2.810000,2.810000,26489500
2020-07-14,2.810000,2.950000,2.780000,2.880000,2.880000,10112600
2020-07-15,2.950000,3.030000,2.860000,3.000000,3.000000,13556500
2020-07-16,2.960000,3.190000,2.920000,3.070000,3.070000,15183700
2020-07-17,3.050000,3.110000,2.820000,2.910000,2.910000,14017200
2020-07-20,2.900000,2.920000,2.730000,2.820000,2.820000,10427200
2020-07-21,2.800000,2.840000,2.710000,2.750000,2.750000,9585000
2020-07-22,2.750000,2.830000,2.620000,2.810000,2.810000,10003700
2020-07-23,2.750000,2.790000,2.520000,2.640000,2.640000,12435200
2020-07-24,2.530000,2.590000,2.500000,2.520000,2.520000,5929600
2020-07-27,2.520000,2.560000,2.320000,2.460000,2.460000,11424900
2020-07-28,2.430000,2.500000,2.380000,2.410000,2.410000,6573700
2020-07-29,2.440000,2.440000,2.170000,2.300000,2.300000,13317900
2020-07-30,2.200000,2.340000,2.160000,2.290000,2.290000,8556800
2020-07-31,2.330000,2.350000,2.160000,2.230000,2.230000,9332300
2020-08-03,2.260000,2.600000,2.260000,2.550000,2.550000,15011400
2020-08-04,2.630000,2.650000,2.420000,2.540000,2.540000,12419600
2020-08-05,2.550000,2.570000,2.450000,2.560000,2.560000,7220600
