Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,5.940000,6.200000,5.890000,6.080000,6.026492,45369400
2020-05-19,6.030000,6.050000,5.790000,5.820000,5.768781,34827500
2020-05-20,5.920000,6.070000,5.880000,5.950000,5.897636,36032500
2020-05-21,6.000000,6.110000,5.860000,5.940000,5.887724,30115800
2020-05-22,5.880000,5.930000,5.750000,5.890000,5.838164,19179900
2020-05-26,6.070000,6.120000,5.930000,6.030000,5.976933,28896700
2020-05-27,6.120000,6.150000,5.860000,6.150000,6.095876,35656300
2020-05-28,6.110000,6.110000,5.700000,5.700000,5.649837,46655700
2020-05-29,5.640000,5.650000,5.310000,5.340000,5.293005,107519800
2020-06-01,5.340000,5.690000,5.250000,5.690000,5.639925,44194400
2020-06-02,5.770000,5.870000,5.730000,5.860000,5.808429,36405500
2020-06-03,5.970000,6.010000,5.840000,5.950000,5.897636,33631200
2020-06-04,5.930000,6.240000,5.820000,6.230000,6.175172,47124900
2020-06-05,6.860000,7.450000,6.790000,7.320000,7.255580,65424600
2020-06-08,8.420000,8.480000,7.850000,8.430000,8.355811,70676900
2020-06-09,7.950000,8.020000,7.500000,7.660000,7.592587,48244400
2020-06-10,7.520000,7.540000,7.100000,7.110000,7.047428,38036800
2020-06-11,6.310000,6.790000,6.190000,6.260000,6.204909,42126100
2020-06-12,6.780000,6.820000,6.320000,6.580000,6.522092,37745100
2020-06-15,6.220000,6.700000,6.120000,6.600000,6.541916,30214800
2020-06-16,6.970000,7.000000,6.570000,6.740000,6.680684,37950700
2020-06-17,6.710000,6.710000,6.360000,6.370000,6.313940,32768600
2020-06-18,6.310000,6.570000,6.230000,6.490000,6.432884,19947800
2020-06-19,6.700000,6.700000,6.270000,6.360000,6.304028,44425600
2020-06-22,6.260000,6.300000,6.070000,6.270000,6.214820,25006200
2020-06-23,6.400000,6.440000,6.260000,6.330000,6.274292,24071900
2020-06-24,6.160000,6.200000,5.730000,5.790000,5.739044,32388600
2020-06-25,5.650000,5.990000,5.550000,5.980000,5.927372,25389200
2020-06-26,5.870000,5.890000,5.620000,5.740000,5.689484,28808300
2020-06-29,5.790000,5.990000,5.660000,5.960000,5.907548,24802800
2020-06-30,5.910000,6.150000,5.800000,6.120000,6.066140,23412100
2020-07-01,6.170000,6.230000,5.890000,5.950000,5.897636,24093800
2020-07-02,6.130000,6.270000,6.000000,6.120000,6.066140,28868100
2020-07-06,6.220000,6.220000,5.710000,5.860000,5.808429,36221900
2020-07-07,5.780000,5.790000,5.560000,5.570000,5.520981,25392500
2020-07-08,5.600000,5.720000,5.470000,5.670000,5.620100,24066200
2020-07-09,5.660000,5.720000,5.270000,5.270000,5.223620,24227900
2020-07-10,5.210000,5.410000,5.120000,5.350000,5.302917,32454200
2020-07-13,5.380000,5.410000,5.130000,5.130000,5.084853,32414800
2020-07-14,5.090000,5.400000,4.970000,5.370000,5.322741,32180900
2020-07-15,5.580000,5.710000,5.410000,5.690000,5.639925,30837800
2020-07-16,5.570000,5.860000,5.480000,5.720000,5.669660,20631000
2020-07-17,5.740000,5.840000,5.470000,5.510000,5.461509,24759400
2020-07-20,5.500000,5.620000,5.410000,5.490000,5.441685,20886500
2020-07-21,5.610000,5.960000,5.610000,5.860000,5.808429,37223000
2020-07-22,5.790000,5.830000,5.600000,5.790000,5.739044,23132000
2020-07-23,5.800000,5.880000,5.690000,5.760000,5.709309,20648200
2020-07-24,5.760000,5.920000,5.700000,5.720000,5.669660,18246800
2020-07-27,5.730000,5.730000,5.480000,5.630000,5.580452,21472900
2020-07-28,5.540000,5.690000,5.520000,5.530000,5.481333,14634000
2020-07-29,5.580000,5.740000,5.510000,5.740000,5.689484,16081200
2020-07-30,5.570000,5.610000,5.400000,5.510000,5.461509,20415700
2020-07-31,5.480000,5.540000,5.360000,5.490000,5.441685,21239400
2020-08-03,5.490000,5.590000,5.340000,5.520000,5.471420,22435700
2020-08-04,5.480000,5.850000,5.480000,5.780000,5.729133,24005300
2020-08-05,5.940000,6.080000,5.850000,5.980000,5.927372,32849800
2020-08-06,5.850000,5.890000,5.620000,5.680000,5.630012,31515100
2020-08-07,5.620000,5.750000,5.460000,5.740000,5.689484,28780700
2020-08-10,5.770000,6.070000,5.720000,6.040000,5.986844,25703000
2020-08-11,6.210000,6.360000,5.910000,5.940000,5.887724,28332700
2020-08-12,6.140000,6.150000,5.850000,5.980000,5.927372,20515800
2020-08-13,5.930000,6.020000,5.810000,5.890000,5.838164,16856200
2020-08-14,5.800000,6.050000,5.780000,6.050000,5.996756,16328600
2020-08-17,6.020000,6.050000,5.810000,5.920000,5.867900,22005500
2020-08-18,5.840000,6.030000,5.790000,5.950000,5.897636,26614700
2020-08-19,5.900000,5.920000,5.700000,5.730000,5.679573,24296100
2020-08-20,5.630000,5.680000,5.460000,5.510000,5.461509,23007600
2020-08-21,5.460000,5.470000,5.250000,5.270000,5.223620,27861300
2020-08-24,5.350000,5.550000,5.270000,5.450000,5.402037,21120700
2020-08-25,5.530000,5.590000,5.370000,5.490000,5.441685,17781800
2020-08-26,5.460000,5.500000,5.280000,5.300000,5.253357,15400100
2020-08-27,5.370000,5.380000,5.220000,5.360000,5.312829,19257400
2020-08-28,5.360000,5.440000,5.280000,5.390000,5.342565,18881400
2020-08-31,5.390000,5.400000,5.240000,5.280000,5.233533,24298800
2020-09-01,5.260000,5.340000,5.160000,5.320000,5.273180,17453000
2020-09-02,5.270000,5.320000,5.100000,5.120000,5.074941,24820900
2020-09-03,5.100000,5.230000,4.950000,4.990000,4.946084,27732800
2020-09-04,5.030000,5.110000,4.850000,4.930000,4.886613,30189200
2020-09-08,4.770000,4.790000,4.500000,4.500000,4.460397,35070700
2020-09-09,4.560000,4.560000,4.410000,4.540000,4.500045,27643900
2020-09-10,4.510000,4.560000,4.360000,4.360000,4.321630,35742200
2020-09-11,4.390000,4.480000,4.340000,4.470000,4.430661,30568200
2020-09-14,4.470000,4.490000,4.360000,4.400000,4.361278,22333000
2020-09-15,4.400000,4.500000,4.320000,4.340000,4.301805,22956300
2020-09-16,4.420000,4.670000,4.350000,4.560000,4.519869,35194000
2020-09-17,4.480000,4.700000,4.470000,4.680000,4.638813,22620000
2020-09-18,4.660000,4.870000,4.650000,4.820000,4.777581,49201600
2020-09-21,4.640000,4.650000,4.490000,4.560000,4.519869,23009000
2020-09-22,4.590000,4.690000,4.440000,4.470000,4.430661,17571400
2020-09-23,4.500000,4.530000,4.210000,4.210000,4.172949,20822200
2020-09-24,4.190000,4.400000,4.020000,4.310000,4.272069,28672800
2020-09-25,4.230000,4.280000,4.080000,4.140000,4.103566,24451400
2020-09-28,4.210000,4.370000,4.130000,4.290000,4.252245,25052300
2020-09-29,4.260000,4.270000,4.040000,4.160000,4.123389,23553900
2020-09-30,4.150000,4.210000,4.060000,4.090000,4.054006,24668500
2020-10-01,4.050000,4.080000,3.930000,3.950000,3.915238,25383200
2020-10-02,3.820000,4.130000,3.790000,4.120000,4.083741,33777400
2020-10-05,4.210000,4.240000,4.090000,4.230000,4.192773,26467200
2020-10-06,4.290000,4.380000,4.030000,4.040000,4.004446,29787700
2020-10-07,4.100000,4.150000,4.030000,4.130000,4.093654,21641200
2020-10-08,4.110000,4.380000,4.060000,4.380000,4.341453,25876300
2020-10-09,4.410000,4.470000,4.200000,4.260000,4.222509,23129900
2020-10-12,4.240000,4.320000,4.180000,4.290000,4.252245,24537300
2020-10-13,4.210000,4.330000,4.190000,4.230000,4.192773,21208500
2020-10-14,4.260000,4.470000,4.200000,4.200000,4.163037,23452500
2020-10-15,4.150000,4.270000,4.060000,4.270000,4.232421,21728200
2020-10-16,4.230000,4.230000,4.070000,4.070000,4.034182,25005800
2020-10-19,4.100000,4.140000,3.980000,3.980000,3.944973,28806300
2020-10-20,4.010000,4.190000,4.000000,4.150000,4.113478,27770600
2020-10-21,4.110000,4.220000,4.060000,4.100000,4.063918,27318500
2020-10-22,4.110000,4.400000,4.090000,4.370000,4.331541,29831600
2020-10-23,4.400000,4.560000,4.370000,4.440000,4.400925,30662100
2020-10-26,4.290000,4.300000,4.100000,4.130000,4.093654,27976600
2020-10-27,4.110000,4.190000,4.040000,4.130000,4.093654,29113800
2020-10-28,3.980000,4.000000,3.820000,3.850000,3.816118,35781600
2020-10-29,3.810000,3.990000,3.730000,3.990000,3.954886,33146300
2020-10-30,3.940000,4.010000,3.830000,3.960000,3.925149,28398600
2020-11-02,3.980000,4.220000,3.860000,4.150000,4.113478,28883800
2020-11-03,4.250000,4.300000,4.100000,4.140000,4.103566,27651100
2020-11-04,4.120000,4.340000,4.000000,4.270000,4.232421,48596200
2020-11-05,4.290000,4.510000,4.210000,4.290000,4.252245,51484400
2020-11-06,4.260000,4.420000,4.100000,4.130000,4.093654,33393300
2020-11-09,4.670000,5.190000,4.670000,5.090000,5.045205,63052000
2020-11-10,5.200000,5.220000,4.890000,5.070000,5.025381,38749000
2020-11-11,5.150000,5.220000,5.010000,5.070000,5.025381,29621500
2020-11-12,4.960000,5.140000,4.770000,4.820000,4.777581,25585200
2020-11-13,4.870000,5.080000,4.860000,5.060000,5.015469,22575900
2020-11-16,5.320000,5.480000,5.220000,5.480000,5.431772,36501600
2020-11-17,5.320000,5.540000,5.210000,5.500000,5.481606,31148600
2020-11-18,5.540000,5.860000,5.480000,5.490000,5.471639,41398500
2020-11-19,5.460000,5.710000,5.370000,5.690000,5.670970,20316500
2020-11-20,5.670000,5.730000,5.510000,5.600000,5.581271,30183500
2020-11-23,5.720000,6.190000,5.710000,6.170000,6.149364,42087000
2020-11-24,6.500000,6.630000,6.340000,6.450000,6.428428,42252300
2020-11-25,6.400000,6.600000,6.240000,6.430000,6.408495,27827300
2020-11-27,6.460000,6.530000,6.310000,6.350000,6.328763,14842000
2020-11-30,6.280000,6.320000,5.900000,5.920000,5.900201,33838800
2020-12-01,6.150000,6.190000,5.800000,5.860000,5.840402,31017700
2020-12-02,5.790000,6.280000,5.760000,6.060000,6.039732,29016100
2020-12-03,6.140000,6.310000,6.010000,6.190000,6.169298,35813100
2020-12-04,6.370000,6.850000,6.350000,6.850000,6.827090,41865900
2020-12-07,6.810000,6.890000,6.610000,6.690000,6.667625,33212000
2020-12-08,6.620000,7.150000,6.590000,7.070000,7.046355,36805100
2020-12-09,7.260000,7.400000,6.980000,7.150000,7.126087,50265700
2020-12-10,7.170000,7.460000,7.110000,7.300000,7.275586,40089300
2020-12-11,7.310000,7.310000,7.000000,7.060000,7.036388,25131200
2020-12-14,7.200000,7.250000,6.680000,6.720000,6.697525,27548600
2020-12-15,6.740000,6.950000,6.670000,6.910000,6.886889,23515800
2020-12-16,7.010000,7.180000,6.880000,6.970000,6.946689,25561600
2020-12-17,7.030000,7.060000,6.860000,6.910000,6.886889,19920700
2020-12-18,6.930000,6.980000,6.660000,6.730000,6.707492,29291200
2020-12-21,6.350000,6.670000,6.270000,6.550000,6.528094,24156400
2020-12-22,6.530000,6.590000,6.310000,6.310000,6.288896,19429800
2020-12-23,6.410000,6.960000,6.400000,6.810000,6.787224,30780600
2020-12-24,6.780000,6.790000,6.450000,6.630000,6.607826,15690700
2020-12-28,6.730000,6.840000,6.590000,6.630000,6.607826,15446800
2020-12-29,6.710000,6.740000,6.500000,6.570000,6.548027,16760000
2020-12-30,6.580000,6.840000,6.550000,6.800000,6.777258,19212900
2020-12-31,6.740000,6.780000,6.630000,6.670000,6.647692,17295300
2021-01-04,6.780000,6.890000,6.600000,6.830000,6.807157,31494300
2021-01-05,6.910000,7.820000,6.910000,7.450000,7.425084,53060800
2021-01-06,7.570000,7.670000,7.330000,7.500000,7.474916,44669800
2021-01-07,7.600000,7.860000,7.550000,7.690000,7.664281,31072400
2021-01-08,7.850000,7.850000,7.450000,7.550000,7.524749,26139600
2021-01-11,7.270000,7.670000,7.170000,7.640000,7.614448,26155300
2021-01-12,7.870000,8.400000,7.780000,8.390000,8.361940,41169200
2021-01-13,8.410000,8.410000,7.910000,8.040000,8.013110,33794900
2021-01-14,8.190000,8.830000,8.180000,8.670000,8.641004,34978600
2021-01-15,8.550000,8.570000,8.100000,8.250000,8.222408,30573900
2021-01-19,8.480000,8.650000,8.350000,8.570000,8.541338,26310200
2021-01-20,8.700000,8.790000,8.360000,8.620000,8.591170,27405700
2021-01-21,8.490000,8.560000,8.080000,8.250000,8.222408,31851900
2021-01-22,8.060000,8.220000,7.900000,8.150000,8.122742,26298300
2021-01-25,8.000000,8.020000,7.620000,7.820000,7.793846,31204400
2021-01-26,7.960000,8.080000,7.440000,7.470000,7.445016,32866300
2021-01-27,7.250000,7.930000,7.220000,7.540000,7.514782,29600600
2021-01-28,7.680000,7.880000,7.350000,7.560000,7.534716,29162200
2021-01-29,7.530000,7.720000,7.210000,7.240000,7.215786,23929800
2021-02-01,7.360000,7.450000,7.200000,7.340000,7.315452,17466600
2021-02-02,7.650000,7.720000,7.330000,7.380000,7.355318,19916700
2021-02-03,7.510000,7.820000,7.480000,7.800000,7.773913,24983200
2021-02-04,7.920000,7.920000,7.610000,7.810000,7.783880,16220000
2021-02-05,7.930000,8.100000,7.880000,7.940000,7.913445,18389600
2021-02-08,8.060000,9.060000,8.060000,8.980000,8.949966,38537200
2021-02-09,8.880000,9.040000,8.510000,8.890000,8.860268,31265400
2021-02-10,8.990000,9.280000,8.920000,9.090000,9.059599,21996700
2021-02-11,9.030000,9.030000,8.510000,8.750000,8.720736,24546800
2021-02-12,8.640000,9.020000,8.570000,8.970000,8.940001,20847400
2021-02-16,9.300000,9.800000,9.220000,9.550000,9.550000,27051100
2021-02-17,9.550000,9.710000,9.280000,9.580000,9.580000,20846800
2021-02-18,9.500000,9.570000,9.110000,9.120000,9.120000,19519500
2021-02-19,9.210000,9.480000,9.140000,9.450000,9.450000,21488700
2021-02-22,9.510000,10.650000,9.440000,10.200000,10.200000,46194600
2021-02-23,10.300000,11.300000,9.650000,11.160000,11.160000,46592700
2021-02-24,11.240000,12.300000,10.870000,11.840000,11.840000,55156400
2021-02-25,12.000000,12.090000,11.150000,11.300000,11.300000,37430000
2021-02-26,11.120000,11.320000,10.460000,11.100000,11.100000,40793600
2021-03-01,11.510000,11.630000,11.120000,11.200000,11.200000,19955800
2021-03-02,11.130000,11.730000,11.090000,11.230000,11.230000,20344300
2021-03-03,11.430000,12.040000,11.330000,11.630000,11.630000,23222300
2021-03-04,11.670000,12.630000,11.480000,12.360000,12.360000,50408100
2021-03-05,13.000000,13.290000,12.310000,12.980000,12.980000,48827900
2021-03-08,13.100000,13.170000,12.140000,12.380000,12.380000,33005000
2021-03-09,12.390000,12.500000,11.920000,12.000000,12.000000,28078200
2021-03-10,12.060000,12.330000,11.890000,12.220000,12.220000,25249100
2021-03-11,12.360000,12.790000,12.180000,12.510000,12.510000,18754900
2021-03-12,12.440000,12.540000,12.140000,12.200000,12.200000,18642700
2021-03-15,12.250000,12.290000,11.880000,12.050000,12.050000,19496500
2021-03-16,11.750000,11.850000,11.320000,11.460000,11.460000,21556100
2021-03-17,11.410000,11.720000,11.240000,11.660000,11.660000,21229500
2021-03-18,11.550000,11.590000,10.600000,10.680000,10.680000,29740400
2021-03-19,10.740000,11.180000,10.560000,11.020000,11.020000,42602300
2021-03-22,10.980000,10.980000,10.610000,10.830000,10.830000,20010300
2021-03-23,10.280000,10.570000,10.080000,10.170000,10.170000,36120500
2021-03-24,10.490000,10.800000,10.400000,10.440000,10.440000,24406000
2021-03-25,10.110000,10.610000,9.830000,10.530000,10.530000,22668800
2021-03-26,10.880000,11.130000,10.740000,11.090000,11.090000,26877400
2021-03-29,11.000000,11.170000,10.660000,10.900000,10.900000,20813900
2021-03-30,10.780000,11.110000,10.620000,10.980000,10.980000,16489300
2021-03-31,11.000000,11.000000,10.630000,10.680000,10.680000,18089400
2021-04-01,10.970000,11.910000,10.880000,11.790000,11.790000,52731200
2021-04-05,11.650000,11.670000,11.000000,11.190000,11.190000,27964500
2021-04-06,11.280000,11.600000,11.080000,11.140000,11.140000,23066300
2021-04-07,11.130000,11.180000,10.780000,10.940000,10.940000,18930800
2021-04-08,10.820000,10.910000,10.630000,10.900000,10.900000,16430300
2021-04-09,10.890000,11.220000,10.850000,10.910000,10.910000,17129100
2021-04-12,11.050000,11.230000,10.690000,10.770000,10.770000,16323000
2021-04-13,10.840000,10.970000,10.730000,10.760000,10.760000,13630700
2021-04-14,10.860000,11.460000,10.850000,11.090000,11.090000,21621800
2021-04-15,11.090000,11.120000,10.780000,10.840000,10.840000,20896600
2021-04-16,10.920000,10.960000,10.520000,10.530000,10.530000,16853200
2021-04-19,10.560000,10.770000,10.420000,10.630000,10.630000,16877800
2021-04-20,10.600000,10.610000,9.930000,10.110000,10.110000,19791300
2021-04-21,9.770000,10.520000,9.700000,10.440000,10.440000,21661000
2021-04-22,10.460000,10.580000,10.210000,10.330000,10.330000,15125300
2021-04-23,10.420000,10.750000,10.330000,10.670000,10.670000,14889200
2021-04-26,10.560000,10.970000,10.540000,10.780000,10.780000,12532900
2021-04-27,10.860000,11.070000,10.760000,11.040000,11.040000,17277300
2021-04-28,11.130000,11.850000,11.130000,11.750000,11.750000,22039000
2021-04-29,12.040000,12.060000,11.530000,11.730000,11.730000,16395500
2021-04-30,11.500000,11.880000,11.260000,11.260000,11.260000,20634600
2021-05-03,11.170000,11.290000,10.870000,11.130000,11.130000,42995300
2021-05-04,11.150000,11.370000,10.950000,11.320000,11.320000,20490300
2021-05-05,11.530000,11.800000,11.490000,11.700000,11.700000,13012900
2021-05-06,11.620000,11.820000,11.240000,11.500000,11.500000,19953700
2021-05-07,11.390000,11.910000,11.260000,11.890000,11.890000,20110900
2021-05-10,12.030000,12.340000,11.640000,11.650000,11.650000,20007500
2021-05-11,11.320000,11.690000,11.100000,11.490000,11.490000,14195800
2021-05-12,11.640000,12.080000,11.450000,11.540000,11.540000,20237700
2021-05-13,11.430000,11.710000,10.870000,11.070000,11.070000,25397200
2021-05-14,11.260000,11.910000,11.260000,11.800000,11.800000,19191300
