Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,6.420000,6.500000,6.290000,6.480000,6.480000,13702700
2020-05-19,6.580000,6.620000,6.430000,6.500000,6.500000,10571600
2020-05-20,6.740000,6.850000,6.690000,6.800000,6.800000,4552400
2020-05-21,7.010000,7.100000,6.840000,6.900000,6.900000,7490700
2020-05-22,6.690000,6.790000,6.560000,6.760000,6.760000,4672500
2020-05-26,7.450000,7.460000,7.210000,7.350000,7.350000,14226600
2020-05-27,7.500000,7.580000,7.210000,7.570000,7.570000,19383600
2020-05-28,7.480000,7.570000,7.300000,7.340000,7.340000,11382100
2020-05-29,7.270000,7.550000,7.130000,7.540000,7.540000,11552400
2020-06-01,7.540000,7.680000,7.490000,7.610000,7.610000,11306300
2020-06-02,7.880000,8.220000,7.790000,8.220000,8.220000,7366500
2020-06-03,8.530000,8.720000,8.440000,8.500000,8.500000,11261200
2020-06-04,8.360000,8.540000,8.220000,8.380000,8.380000,30154800
2020-06-05,9.000000,9.070000,8.870000,8.940000,8.940000,17246200
2020-06-08,9.030000,9.350000,8.870000,9.340000,9.340000,10491400
2020-06-09,8.860000,9.030000,8.850000,8.880000,8.880000,5979300
2020-06-10,8.950000,8.950000,8.580000,8.640000,8.640000,10504100
2020-06-11,8.000000,8.330000,7.840000,7.990000,7.990000,12545600
2020-06-12,8.270000,8.500000,7.930000,8.210000,8.210000,19777700
2020-06-15,7.610000,8.260000,7.550000,8.140000,8.140000,10241200
2020-06-16,8.540000,8.610000,8.180000,8.200000,8.200000,9429100
2020-06-17,8.160000,8.380000,8.070000,8.160000,8.160000,5758400
2020-06-18,7.970000,8.180000,7.930000,8.050000,8.050000,3416200
2020-06-19,8.290000,8.290000,7.950000,7.970000,7.970000,13795700
2020-06-22,8.220000,8.240000,7.960000,7.990000,7.990000,4748800
2020-06-23,8.230000,8.570000,8.180000,8.440000,8.440000,6589200
2020-06-24,8.270000,8.290000,7.820000,7.900000,7.900000,7927000
2020-06-25,7.930000,8.070000,7.790000,8.050000,8.050000,4067500
2020-06-26,7.870000,7.920000,7.630000,7.640000,7.640000,6841400
2020-06-29,7.830000,7.990000,7.730000,7.980000,7.980000,4650700
2020-06-30,7.820000,8.070000,7.720000,7.970000,7.970000,6186900
2020-07-01,8.120000,8.330000,8.100000,8.190000,8.190000,4905000
2020-07-02,8.290000,8.450000,8.200000,8.280000,8.280000,5490200
2020-07-06,8.500000,8.660000,8.360000,8.420000,8.420000,3899300
2020-07-07,8.430000,8.500000,8.260000,8.260000,8.260000,8485600
2020-07-08,8.490000,8.540000,8.380000,8.510000,8.510000,4629200
2020-07-09,8.640000,8.650000,8.260000,8.320000,8.320000,4331200
2020-07-10,8.300000,8.510000,8.240000,8.490000,8.490000,9875500
2020-07-13,8.390000,8.470000,8.230000,8.250000,8.250000,4516100
2020-07-14,8.110000,8.620000,8.050000,8.580000,8.580000,10503000
2020-07-15,8.690000,8.760000,8.550000,8.690000,8.690000,3159000
2020-07-16,8.610000,8.670000,8.470000,8.480000,8.480000,7544200
2020-07-17,8.620000,8.660000,8.400000,8.420000,8.420000,4413700
2020-07-20,8.400000,8.600000,8.370000,8.530000,8.530000,3782900
2020-07-21,8.870000,9.110000,8.840000,8.960000,8.960000,8157200
2020-07-22,9.040000,9.130000,8.970000,9.060000,9.060000,9920100
2020-07-23,8.950000,9.010000,8.640000,8.680000,8.680000,7473200
2020-07-24,8.720000,8.900000,8.550000,8.790000,8.790000,4304400
2020-07-27,8.710000,9.070000,8.630000,9.040000,9.040000,5075500
