Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,8.100000,8.650000,7.870000,7.960000,7.960000,12292600
2020-05-19,8.110000,8.730000,7.850000,8.160000,8.160000,12193700
2020-05-20,8.230000,8.400000,7.940000,8.050000,8.050000,7283000
2020-05-21,8.140000,10.070000,8.120000,9.650000,9.650000,28024700
2020-05-22,10.060000,10.690000,8.900000,10.260000,10.260000,43098700
2020-05-26,10.100000,11.600000,9.800000,10.810000,10.810000,36192900
2020-05-27,11.050000,11.250000,9.900000,10.650000,10.650000,19938500
2020-05-28,10.540000,11.370000,10.250000,10.390000,10.390000,16197400
2020-05-29,9.900000,10.100000,9.330000,9.850000,9.850000,10922000
2020-06-01,9.580000,10.280000,9.560000,10.040000,10.040000,6673700
2020-06-02,10.200000,10.470000,9.850000,10.020000,10.020000,7206000
2020-06-03,10.090000,10.500000,10.000000,10.080000,10.080000,7926500
2020-06-04,10.130000,10.310000,9.910000,10.090000,10.090000,7054100
2020-06-05,10.350000,10.350000,9.080000,9.480000,9.480000,10837300
2020-06-08,9.680000,10.680000,9.660000,10.440000,10.440000,14014400
2020-06-09,10.060000,10.670000,9.910000,10.130000,10.130000,8882100
2020-06-10,10.240000,10.380000,9.540000,9.690000,9.690000,8557100
2020-06-11,8.910000,9.230000,8.210000,8.370000,8.370000,10281400
2020-06-12,9.010000,9.020000,8.210000,8.420000,8.420000,6582300
2020-06-15,8.080000,8.600000,7.870000,8.440000,8.440000,5230700
2020-06-16,8.740000,8.780000,8.110000,8.230000,8.230000,8027000
2020-06-17,8.260000,8.300000,7.830000,8.090000,8.090000,6146200
2020-06-18,7.990000,8.710000,7.910000,8.560000,8.560000,10325600
2020-06-19,8.600000,8.700000,8.100000,8.300000,8.300000,5252600
2020-06-22,8.230000,8.490000,8.020000,8.410000,8.410000,5584400
2020-06-23,8.310000,9.200000,8.310000,8.560000,8.560000,9327500
2020-06-24,8.490000,8.600000,8.060000,8.150000,8.150000,4221600
2020-06-25,8.050000,8.650000,8.000000,8.550000,8.550000,7755600
2020-06-26,8.310000,8.430000,7.770000,7.950000,7.950000,6340900
2020-06-29,7.960000,8.020000,7.560000,7.710000,7.710000,3892700
2020-06-30,7.740000,7.740000,7.020000,7.110000,7.110000,7208500
2020-07-01,7.180000,7.460000,7.010000,7.010000,7.010000,4558600
2020-07-02,7.150000,7.280000,6.890000,6.960000,6.960000,4180500
2020-07-06,7.040000,7.990000,6.890000,7.850000,7.850000,13614800
2020-07-07,7.830000,8.400000,7.620000,7.700000,7.700000,6576800
2020-07-08,7.730000,7.940000,7.450000,7.580000,7.580000,4719000
2020-07-09,7.630000,7.770000,7.310000,7.450000,7.450000,3847500
2020-07-10,7.630000,8.100000,7.420000,8.010000,8.010000,7174400
2020-07-13,7.960000,8.410000,7.450000,7.470000,7.470000,8702200
2020-07-14,7.450000,7.650000,7.200000,7.570000,7.570000,3911200
2020-07-15,7.710000,8.000000,7.580000,7.840000,7.840000,5908000
2020-07-16,7.760000,7.870000,7.510000,7.680000,7.680000,3938100
2020-07-17,7.620000,7.710000,7.300000,7.330000,7.330000,5242500
2020-07-20,7.350000,7.420000,7.110000,7.130000,7.130000,3309900
2020-07-21,7.200000,7.750000,7.180000,7.400000,7.400000,4886800
2020-07-22,7.400000,7.440000,7.200000,7.250000,7.250000,3534300
2020-07-23,7.270000,7.600000,7.090000,7.350000,7.350000,6336500
2020-07-24,7.230000,7.280000,7.010000,7.120000,7.120000,6815600
2020-07-27,7.100000,7.500000,7.080000,7.370000,7.370000,5970500
2020-07-28,7.320000,8.380000,7.250000,8.120000,8.120000,12667000
2020-07-29,8.000000,8.090000,7.370000,7.530000,7.530000,7518500
2020-07-30,7.470000,7.740000,7.370000,7.530000,7.530000,3145500
2020-07-31,7.530000,7.740000,7.320000,7.380000,7.380000,3742200
2020-08-03,7.400000,7.550000,7.100000,7.430000,7.430000,5313100
2020-08-04,7.340000,8.760000,7.340000,8.700000,8.700000,20125600
2020-08-05,8.430000,8.530000,7.920000,8.110000,8.110000,8563500
2020-08-06,8.030000,8.130000,7.720000,7.760000,7.760000,5293100
2020-08-07,7.660000,7.800000,7.280000,7.460000,7.460000,5445800
2020-08-10,7.750000,8.170000,7.500000,7.970000,7.970000,13061700
2020-08-11,7.140000,7.270000,6.830000,6.930000,6.930000,14118900
2020-08-12,7.080000,7.100000,6.760000,6.900000,6.900000,5310200
2020-08-13,6.880000,7.390000,6.820000,7.050000,7.050000,6268100
2020-08-14,7.090000,7.430000,6.970000,7.250000,7.250000,7354700
2020-08-17,7.300000,7.360000,7.030000,7.060000,7.060000,4687100
2020-08-18,7.100000,7.170000,6.920000,6.980000,6.980000,3354000
